risk_score,risk_band,hospital,claims,sanction_cr,billed_cr,excess_cr,avg_ratio,disallow_pct,breaches
76.4,CRITICAL,PARK HOSPITAL (A UNIT OF UMKAL HEALTHCARE PVT LTD),1748,15.96,88.69,73.11,5.56,32.9,1639
56.7,HIGH,MEDANTA THE MEDICITY - GURGAON,5961,76.3,122.44,65.99,1.6,33.0,2622
61.0,HIGH,PARK HOSPITAL (A UNIT OF PARK MEDICENTRES & INSTITUTIONS PVT LTD) - GURGAON,1407,20.04,74.82,56.33,3.73,40.6,1104
60.2,HIGH,VENKATESHWAR HOSPITAL - DWARKA,3772,20.31,73.3,55.21,3.61,31.8,2624
55.6,HIGH,HUMAN CARE MEDICAL CHARITABLE TRUST,3564,20.17,65.42,47.61,3.24,33.6,2476
50.6,HIGH,MANIPAL HEALTH ENTERPRISES PRIVATE LIMITED,2077,18.54,52.52,36.97,2.83,29.9,1642
47.6,HIGH,SARVODAYA HOSPITAL & RESEARCH CENTRE - FARIDABAD,3261,26.61,58.77,36.62,2.21,18.7,2211
48.7,HIGH,METRO HEART INSTITUTE - FARIDABAD,1434,18.6,52.35,35.0,2.81,48.6,1112
58.9,HIGH,THE SIGNATURE HOSPITAL (A UNIT OF PARK MEDICITY,935,5.36,37.98,32.83,7.09,25.9,857
39.2,MEDIUM,Krishna Institute of Medical Sciences Ltd - Secunderabad,2520,12.48,32.35,22.23,2.59,17.7,1465
37.2,MEDIUM,Amrita Institute of Medical Sciences And Research Centre,2416,11.33,27.7,21.26,2.44,25.9,1265
38.8,MEDIUM,Aditya Birla Health Services Ltd,1316,12.94,29.73,19.68,2.3,17.2,937
31.3,MEDIUM,ARTEMIS MEDICARE SERVICES LIMITED - GURGAON,2412,42.75,53.25,17.73,1.25,24.0,1065
38.2,MEDIUM,MAX SUPER SPECIALITY HOSPITAL - SHALIMAR BAGH,890,8.26,23.66,16.76,2.86,21.4,646
39.9,MEDIUM,FORTIS ESCORTS HOSPITAL (A UNIT OF FHL & IHL),1377,10.86,26.41,15.65,2.43,15.9,1162
33.6,MEDIUM,GRAPHIC ERA INSTITUTE OF MEDICAL SCIENCES,793,7.9,21.11,14.16,2.67,47.9,464
29.7,MEDIUM,MAX HEALTH CARE INSTITUTE LTD - DEHRADUN,2474,17.28,28.85,13.5,1.67,14.7,1032
40.3,MEDIUM,ACCORD SUPER SPECIALITY HOSPITAL,644,5.09,17.32,13.12,3.4,33.7,570
35.1,MEDIUM,FORTIS HOSPITAL - SHALIMAR BAGH,615,5.93,17.29,12.32,2.91,39.4,431
48.8,HIGH,EMC Super Speciality Hospital Pvt. Ltd.,387,2.02,14.11,12.1,7.0,24.0,384
30.7,MEDIUM,FORTIS HOSPITALS LTD - MULUND,1156,8.95,18.49,11.36,2.06,24.0,623
26.9,MEDIUM,KAILASH HOSPITAL - DEHRADUN,1368,13.62,19.49,11.03,1.43,23.0,565
28.9,MEDIUM,NARAYANA SUPERSPECIALITY HOSPITAL,842,10.39,18.34,10.44,1.76,24.0,448
35.8,MEDIUM,SSB HEART AND MULTISPECIALITY HOSPITAL,938,7.13,15.76,9.64,2.21,18.9,789
28.6,MEDIUM,SHRI MAHANT INDIRESH HOSPITAL,1476,13.42,20.67,9.28,1.54,12.0,767
34.2,MEDIUM,ASHOKA MEDICOVER HOSPITALS (UNIT OF SAHRUDAYA HEAL,704,5.93,14.67,9.07,2.47,35.8,542
39.0,MEDIUM,ACTION CANCER HOSPITAL,513,2.83,11.49,8.87,4.06,18.9,447
32.5,MEDIUM,AARVY HEALTHCARE PRIVATE LIMITED,572,3.09,11.06,8.35,3.57,31.2,345
27.9,MEDIUM,ASTER DM HEALTHCARE LIMITED,799,6.2,10.82,8.18,1.75,37.3,433
42.8,MEDIUM,PARK HOSPITAL - CHOWKHANDI,284,1.58,9.6,8.08,6.07,27.1,260
22.9,MEDIUM,PARAS HEALTHCARE PVT LTD - SUSHANT LOK -I,973,14.15,19.0,7.86,1.34,39.9,316
28.5,MEDIUM,RUBAN MEMORIAL HOSPITAL RATAN STONE CLINIC,775,6.27,13.29,7.66,2.12,16.0,424
29.6,MEDIUM,SWAMI RAMA HIMALAYAN UNIVERSITY,1379,5.8,12.82,7.62,2.21,12.7,750
34.5,MEDIUM,VIVEKANAND MEDICAL INSTITUTE,1001,6.37,13.26,7.38,2.08,18.0,839
34.6,MEDIUM,QRG MEDICARE LIMITED,237,2.29,9.32,7.28,4.07,38.4,179
41.8,MEDIUM,HEALING TOUCH SUPER SPECIALITY HOSPITAL,263,1.57,8.65,7.19,5.52,18.0,250
36.0,MEDIUM,ASIAN INSTITUTE OF MEDICAL SCIENCES - FARIDABAD,321,1.54,8.02,6.63,5.19,30.6,223
30.1,MEDIUM,CKS HOSPITALS (A UNIT OF CKS MEDICARE PVT LTD),862,12.34,17.22,6.51,1.4,15.9,625
30.7,MEDIUM,VELMED HOSPITAL,401,3.88,9.87,6.45,2.54,40.0,279
23.3,MEDIUM,MANIPAL HOSPITALS PRIVATE LIMITED,780,7.29,10.67,6.29,1.46,35.2,305
